"","n","Coefficient","value","rescale"
"327","nic","c",-0.00594701116901976,1.98891486244097
"328","nld","a",-0.315155217933208,2.10300531642396
"329","nld","b",0.0593766757790553,2.10300531642396
"330","nld","c",-0.00279036165105811,2.10300531642396
"331","nor","a",-0.0641341843565167,1.58432447050166
"332","nor","b",0.0334994098165072,1.58432447050166
"333","nor","c",-0.00399893899551905,1.58432447050166
"334","npl","a",-0.0145345721251373,0.113715839062046
"335","npl","b",0.00216645784478194,0.113715839062046
"336","npl","c",-8.06805247393132e-05,0.113715839062046
"337","nzl","a",-0.237002660466713,2.24952509090451
"338","nzl","b",0.037511006157122,2.24952509090451
"339","nzl","c",-0.00148389073854486,2.24952509090451
"340","omn","a",-3.94368293686676,1.78254939034482
"341","omn","b",0.30096730622451,1.78254939034482
"342","omn","c",-0.0057296037079553,1.78254939034482
"343","pak","a",-3.53228424415995,3.11341773151764
"344","pak","b",0.344294149821216,3.11341773151764
"345","pak","c",-0.00838539540913112,3.11341773151764
"346","pan","a",-3.33158119216037,1.80326479227908
"347","pan","b",0.270370624871143,1.80326479227908
"348","pan","c",-0.00547373612090707,1.80326479227908
"349","per","a",-2.82157077956291,4.52474643634592
"350","per","b",0.323707664487699,4.52474643634592
"351","per","c",-0.00928261204328408,4.52474643634592
"352","phl","a",-3.43285411516889,1.76664310264795
"353","phl","b",0.273421497375836,1.76664310264795
"354","phl","c",-0.00543212616854462,1.76664310264795
"355","pol","a",-0.252467774168095,1.79736356604964
"356","pol","b",0.054746689907553,1.79736356604964
"357","pol","c",-0.00294890229913562,1.79736356604964
"358","prt","a",-3.09018591049058,6.13021925531441
"359","prt","b",0.37287707856576,6.13021925531441
"360","prt","c",-0.0112472457166654,6.13021925531441
"361","pry","a",-3.04992911790859,2.05467909106183
"362","pry","b",0.268423523804369,2.05467909106183
"363","pry","c",-0.00589723568234893,2.05467909106183
"364","qat","a",-3.87678304409055,1.87568091910541
"365","qat","b",0.304267983349817,1.87568091910541
"366","qat","c",-0.00595876022723742,1.87568091910541
"367","rou","a",-0.251903539781402,1.740206810185
"368","rou","b",0.0483124788760687,1.740206810185
"369","rou","c",-0.00230651187902919,1.740206810185
"370","row","a",-3.11246985843002,2.1967921153317
"371","row","b",0.279199545275612,2.1967921153317
"372","row","c",-0.00625356417183171,2.1967921153317
"373","rus","a",-0.0874518896172136,1.49463711187131
"374","rus","b",0.0359407203874053,1.49463711187131
"375","rus","c",-0.00346625979091328,1.49463711187131
"376","rwa","a",-2.65505311513696,2.47683448319542
"377","rwa","b",0.260339977407013,2.47683448319542
"378","rwa","c",-0.00637617470257816,2.47683448319542
"379","sau","a",-3.52148954856806,2.07299688072138
"380","sau","b",0.297230891787545,2.07299688072138
"381","sau","c",-0.00626287571073671,2.07299688072138
