"","n","Coefficient","value","rescale"
"410","svk","b",0.0560486524292892,1.81923374494812
"411","svk","c",-0.00295405552366148,1.81923374494812
"412","svn","a",-0.279778830923598,1.88578900269218
"413","svn","b",0.0577829904687525,1.88578900269218
"414","svn","c",-0.00297020611997628,1.88578900269218
"415","swe","a",-0.156111274919387,1.71993384420074
"416","swe","b",0.0498412239743857,1.71993384420074
"417","swe","c",-0.00389083392550002,1.71993384420074
"418","swz","a",-2.45556067681097,3.4031880803165
"419","swz","b",0.2692688613057,3.4031880803165
"420","swz","c",-0.00737878222023646,3.4031880803165
"421","tcd","a",-3.75448648601789,1.74386388984861
"422","tcd","b",0.287098614535081,1.74386388984861
"423","tcd","c",-0.00547524496346637,1.74386388984861
"424","tgo","a",-3.50606097857232,1.75576626910845
"425","tgo","b",0.275178945121152,1.75576626910845
"426","tgo","c",-0.00538667404416412,1.75576626910845
"427","tha","a",-3.31935469635774,1.86391436103856
"428","tha","b",0.272125543172622,1.86391436103856
"429","tha","c",-0.00556613913713609,1.86391436103856
"430","tjk","a",-0.169612781714252,1.60477736118596
"431","tjk","b",0.0477694538923809,1.60477736118596
"432","tjk","c",-0.00329874545129722,1.60477736118596
"433","tls","a",-3.45757677061112,1.6824513619954
"434","tls","b",0.267544218138667,1.6824513619954
"435","tls","c",-0.00516170350456124,1.6824513619954
"436","tto","a",-3.21290429257656,1.75913609658067
"437","tto","b",0.259792226000146,1.75913609658067
"438","tto","c",-0.00523922793596287,1.75913609658067
"439","tun","a",-2.69084901709636,3.9354589972572
"440","tun","b",0.300007540661462,3.9354589972572
"441","tun","c",-0.00835969918002397,3.9354589972572
"442","tur","a",-0.0445552945261174,0.450969497644257
"443","tur","b",0.00676268477347277,0.450969497644257
"444","tur","c",-0.000256469208134962,0.450969497644257
"445","tza","a",-2.55669720818871,2.23401379634911
"446","tza","b",0.243461754219904,2.23401379634911
"447","tza","c",-0.00578885068364258,2.23401379634911
"448","uga","a",-2.89479806215303,2.0947851584888
"449","uga","b",0.259513257149214,2.0947851584888
"450","uga","c",-0.0058077635682905,2.0947851584888
"451","ukr","a",-0.269352684433986,1.82661013858793
"452","ukr","b",0.0554271017379684,1.82661013858793
"453","ukr","c",-0.00283770357961507,1.82661013858793
"454","ury","a",-1.94858371343674,2.9368262878511
"455","ury","b",0.21716282100034,2.9368262878511
"456","ury","c",-0.00604702239623118,2.9368262878511
"457","usa","a",-0.0849421363575956,1.03781403408747
"458","usa","b",0.013046812471904,1.03781403408747
"459","usa","c",-0.000500722666736676,1.03781403408747
"460","uzb","a",-0.934908541820102,3.68648440292314
"461","uzb","b",0.128486811561942,3.68648440292314
"462","uzb","c",-0.00441409147426172,3.68648440292314
"463","vct","a",-3.13131886364001,1.77071445846486
"464","vct","b",0.256053503185483,1.77071445846486
"465","vct","c",-0.00522234366256322,1.77071445846486
"466","vnm","a",-3.17546851241528,2.10465033846966
"467","vnm","b",0.277160245815542,2.10465033846966
"468","vnm","c",-0.00603906973154233,2.10465033846966
"469","zaf","a",-2.65599360043845,4.62949904226078
"470","zaf","b",0.309321011141132,4.62949904226078
"471","zaf","c",-0.00900428635051318,4.62949904226078
"472","zmb","a",-2.70032186676885,2.32352528793642
"473","zmb","b",0.256579677950579,2.32352528793642
"474","zmb","c",-0.00608823068993182,2.32352528793642
